Time(s),CH1(V),CH4(V)
-3.1800E-08,-7.429424E-02,0.000000E+00
-3.1600E-08,-7.429424E-02,0.000000E+00
-3.1400E-08,-1.114414E-01,2.141200E-04
-3.1200E-08,-1.114414E-01,0.000000E+00
-3.1000E-08,-1.114414E-01,-2.141200E-04
-3.0800E-08,-1.114414E-01,0.000000E+00
-3.0600E-08,-1.114414E-01,0.000000E+00
-3.0400E-08,-7.429424E-02,-2.141200E-04
-3.0200E-08,-7.429424E-02,0.000000E+00
-3.0000E-08,-7.429424E-02,0.000000E+00
-2.9800E-08,-7.429424E-02,0.000000E+00
-2.9600E-08,-3.714712E-02,0.000000E+00
-2.9400E-08,-7.429424E-02,0.000000E+00
-2.9200E-08,-7.429424E-02,0.000000E+00
-2.9000E-08,-7.429424E-02,0.000000E+00
-2.8800E-08,-7.429424E-02,0.000000E+00
-2.8600E-08,-1.114414E-01,-2.141200E-04
-2.8400E-08,-1.114414E-01,0.000000E+00
-2.8200E-08,-1.114414E-01,0.000000E+00
-2.8000E-08,-1.114414E-01,-2.141200E-04
-2.7800E-08,-7.429424E-02,-2.141200E-04
-2.7600E-08,-7.429424E-02,0.000000E+00
-2.7400E-08,-7.429424E-02,2.141200E-04
-2.7200E-08,-7.429424E-02,0.000000E+00
-2.7000E-08,-7.429424E-02,-2.141200E-04
-2.6800E-08,-7.429424E-02,0.000000E+00
-2.6600E-08,-1.114414E-01,-2.141200E-04
-2.6400E-08,-7.429424E-02,0.000000E+00
-2.6200E-08,-1.114414E-01,0.000000E+00
-2.6000E-08,-7.429424E-02,-2.141200E-04
-2.5800E-08,-7.429424E-02,-2.141200E-04
-2.5600E-08,-1.114414E-01,-2.141200E-04
-2.5400E-08,-7.429424E-02,0.000000E+00
-2.5200E-08,-1.114414E-01,2.141200E-04
-2.5000E-08,-1.114414E-01,-2.141200E-04
-2.4800E-08,-1.114414E-01,-4.282400E-04
-2.4600E-08,-1.114414E-01,-2.141200E-04
-2.4400E-08,-1.114414E-01,0.000000E+00
-2.4200E-08,-1.114414E-01,-2.141200E-04
-2.4000E-08,-1.114414E-01,-2.141200E-04
-2.3800E-08,-7.429424E-02,0.000000E+00
-2.3600E-08,-7.429424E-02,0.000000E+00
-2.3400E-08,-7.429424E-02,-4.282400E-04
-2.3200E-08,-7.429424E-02,-6.423600E-04
-2.3000E-08,-1.114414E-01,0.000000E+00
-2.2800E-08,-1.114414E-01,2.141200E-04
-2.2600E-08,-1.114414E-01,0.000000E+00
-2.2400E-08,-7.429424E-02,4.282400E-04
-2.2200E-08,-7.429424E-02,2.141200E-04
-2.2000E-08,-7.429424E-02,2.141200E-04
-2.1800E-08,-7.429424E-02,2.141200E-04
-2.1600E-08,-1.114414E-01,0.000000E+00
-2.1400E-08,-1.114414E-01,0.000000E+00
-2.1200E-08,-7.429424E-02,2.141200E-04
-2.1000E-08,-1.114414E-01,2.141200E-04
-2.0800E-08,-1.114414E-01,0.000000E+00
-2.0600E-08,-1.114414E-01,0.000000E+00
-2.0400E-08,-1.114414E-01,0.000000E+00
-2.0200E-08,-1.114414E-01,-2.141200E-04
-2.0000E-08,-1.114414E-01,-4.282400E-04
-1.9800E-08,-1.114414E-01,-4.282400E-04
-1.9600E-08,-1.114414E-01,-4.282400E-04
-1.9400E-08,-1.114414E-01,0.000000E+00
-1.9200E-08,-1.114414E-01,2.141200E-04
-1.9000E-08,-1.114414E-01,2.141200E-04
-1.8800E-08,-1.114414E-01,2.141200E-04
-1.8600E-08,-1.114414E-01,0.000000E+00
-1.8400E-08,-1.114414E-01,2.141200E-04
-1.8200E-08,-1.114414E-01,0.000000E+00
-1.8000E-08,-1.114414E-01,0.000000E+00
-1.7800E-08,-1.114414E-01,2.141200E-04
-1.7600E-08,-7.429424E-02,-2.141200E-04
-1.7400E-08,-7.429424E-02,0.000000E+00
-1.7200E-08,-7.429424E-02,2.141200E-04
-1.7000E-08,-7.429424E-02,2.141200E-04
-1.6800E-08,-7.429424E-02,2.141200E-04
-1.6600E-08,-7.429424E-02,2.141200E-04
-1.6400E-08,-7.429424E-02,2.141200E-04
-1.6200E-08,-1.114414E-01,0.000000E+00
-1.6000E-08,-1.114414E-01,0.000000E+00
-1.5800E-08,-1.114414E-01,0.000000E+00
-1.5600E-08,-1.114414E-01,0.000000E+00
-1.5400E-08,-7.429424E-02,2.141200E-04
-1.5200E-08,-7.429424E-02,2.141200E-04
-1.5000E-08,-7.429424E-02,2.141200E-04
-1.4800E-08,-7.429424E-02,2.141200E-04
-1.4600E-08,-7.429424E-02,2.141200E-04
-1.4400E-08,-7.429424E-02,2.141200E-04
-1.4200E-08,-7.429424E-02,0.000000E+00
-1.4000E-08,-7.429424E-02,-2.141200E-04
-1.3800E-08,-7.429424E-02,0.000000E+00
-1.3600E-08,-7.429424E-02,0.000000E+00
-1.3400E-08,-7.429424E-02,-2.141200E-04
-1.3200E-08,-7.429424E-02,-2.141200E-04
-1.3000E-08,-7.429424E-02,0.000000E+00
-1.2800E-08,-7.429424E-02,-2.141200E-04
-1.2600E-08,-7.429424E-02,-4.282400E-04
-1.2400E-08,-1.114414E-01,-4.282400E-04
-1.2200E-08,-1.114414E-01,0.000000E+00
-1.2000E-08,-7.429424E-02,4.282400E-04
-1.1800E-08,-1.114414E-01,4.282400E-04
-1.1600E-08,-7.429424E-02,2.141200E-04
-1.1400E-08,-7.429424E-02,0.000000E+00
-1.1200E-08,-7.429424E-02,-2.141200E-04
-1.1000E-08,-7.429424E-02,0.000000E+00
-1.0800E-08,-7.429424E-02,0.000000E+00
-1.0600E-08,-7.429424E-02,0.000000E+00
-1.0400E-08,-7.429424E-02,-2.141200E-04
-1.0200E-08,-7.429424E-02,2.141200E-04
-1.0000E-08,-7.429424E-02,6.423600E-04
-9.8000E-09,-7.429424E-02,0.000000E+00
-9.6000E-09,-7.429424E-02,-2.141200E-04
-9.4000E-09,-7.429424E-02,2.141200E-04
-9.2000E-09,-7.429424E-02,0.000000E+00
-9.0000E-09,-1.114414E-01,0.000000E+00
-8.8000E-09,-1.114414E-01,2.141200E-04
-8.6000E-09,-1.114414E-01,0.000000E+00
-8.4000E-09,-1.114414E-01,2.141200E-04
-8.2000E-09,-1.114414E-01,2.141200E-04
-8.0000E-09,-1.114414E-01,0.000000E+00
-7.8000E-09,-7.429424E-02,2.141200E-04
-7.6000E-09,-7.429424E-02,0.000000E+00
-7.4000E-09,-7.429424E-02,0.000000E+00
-7.2000E-09,-7.429424E-02,2.141200E-04
-7.0000E-09,-7.429424E-02,4.282400E-04
-6.8000E-09,-7.429424E-02,2.141200E-04
-6.6000E-09,-1.114414E-01,2.141200E-04
-6.4000E-09,-7.429424E-02,4.282400E-04
-6.2000E-09,-7.429424E-02,2.141200E-04
-6.0000E-09,-1.114414E-01,-4.282400E-04
-5.8000E-09,-1.114414E-01,-4.282400E-04
-5.6000E-09,-7.429424E-02,-2.141200E-04
-5.4000E-09,-1.114414E-01,0.000000E+00
-5.2000E-09,-7.429424E-02,-4.282400E-04
-5.0000E-09,-7.429424E-02,-4.282400E-04
-4.8000E-09,-7.429424E-02,-4.282400E-04
-4.6000E-09,-7.429424E-02,0.000000E+00
-4.4000E-09,-7.429424E-02,2.141200E-04
-4.2000E-09,-7.429424E-02,2.141200E-04
-4.0000E-09,-7.429424E-02,0.000000E+00
-3.8000E-09,-7.429424E-02,-2.141200E-04
-3.6000E-09,-7.429424E-02,0.000000E+00
-3.4000E-09,-7.429424E-02,-2.141200E-04
-3.2000E-09,-7.429424E-02,0.000000E+00
-3.0000E-09,-7.429424E-02,2.141200E-04
-2.8000E-09,-7.429424E-02,0.000000E+00
-2.6000E-09,-1.114414E-01,-2.141200E-04
-2.4000E-09,-7.429424E-02,-2.141200E-04
-2.2000E-09,-7.429424E-02,-2.141200E-04
-2.0000E-09,-7.429424E-02,0.000000E+00
-1.8000E-09,-7.429424E-02,0.000000E+00
-1.6000E-09,-1.114414E-01,2.141200E-04
-1.4000E-09,-1.114414E-01,4.282400E-04
-1.2000E-09,-7.429424E-02,0.000000E+00
-1.0000E-09,-7.429424E-02,-2.141200E-04
-8.0000E-10,-3.714712E-02,-4.282400E-04
-6.0000E-10,0.000000E+00,-4.282400E-04
-4.0000E-10,7.429424E-02,0.000000E+00
-2.0000E-10,1.857356E-01,0.000000E+00
1.2247E-22,3.343241E-01,-2.141200E-04
2.0000E-10,4.829125E-01,0.000000E+00
4.0000E-10,6.686481E-01,2.141200E-04
6.0000E-10,8.543838E-01,2.141200E-04
8.0000E-10,1.040119E+00,0.000000E+00
1.0000E-09,1.188708E+00,0.000000E+00
1.2000E-09,1.337296E+00,-2.141200E-04
1.4000E-09,1.485885E+00,-2.141200E-04
1.6000E-09,1.597326E+00,0.000000E+00
1.8000E-09,1.671620E+00,-2.141200E-04
2.0000E-09,1.745915E+00,-2.141200E-04
2.2000E-09,1.783062E+00,0.000000E+00
2.4000E-09,1.820209E+00,0.000000E+00
2.6000E-09,1.857356E+00,2.141200E-04
2.8000E-09,1.894503E+00,4.282400E-04
3.0000E-09,1.931650E+00,4.282400E-04
3.2000E-09,1.931650E+00,0.000000E+00
3.4000E-09,1.968797E+00,0.000000E+00
3.6000E-09,1.968797E+00,2.141200E-04
3.8000E-09,1.968797E+00,0.000000E+00
4.0000E-09,1.968797E+00,0.000000E+00
4.2000E-09,1.968797E+00,-2.141200E-04
4.4000E-09,1.968797E+00,-4.282400E-04
4.6000E-09,1.968797E+00,-2.141200E-04
4.8000E-09,1.968797E+00,0.000000E+00
5.0000E-09,1.931650E+00,0.000000E+00
5.2000E-09,1.857356E+00,2.141200E-04
5.4000E-09,1.783062E+00,2.141200E-04
5.6000E-09,1.671620E+00,0.000000E+00
5.8000E-09,1.560179E+00,0.000000E+00
6.0000E-09,1.411591E+00,2.141200E-04
6.2000E-09,1.225855E+00,-2.141200E-04
6.4000E-09,1.040119E+00,-4.282400E-04
6.6000E-09,8.543838E-01,0.000000E+00
6.8000E-09,7.057953E-01,0.000000E+00
7.0000E-09,5.572068E-01,-4.282400E-04
7.2000E-09,4.086183E-01,-2.141200E-04
7.4000E-09,2.971770E-01,2.141200E-04
7.6000E-09,2.228827E-01,0.000000E+00
7.8000E-09,1.485885E-01,0.000000E+00
8.0000E-09,1.114414E-01,2.141200E-04
8.2000E-09,7.429424E-02,0.000000E+00
8.4000E-09,3.714712E-02,0.000000E+00
8.6000E-09,3.714712E-02,0.000000E+00
8.8000E-09,3.714712E-02,0.000000E+00
9.0000E-09,0.000000E+00,-2.141200E-04
9.2000E-09,0.000000E+00,2.141200E-04
9.4000E-09,-3.714712E-02,2.141200E-04
