Time(s),CH1(V),CH4(V)
-1.2500E-08,-7.429424E-02,-4.100800E-04
-1.2400E-08,-7.429424E-02,-4.100800E-04
-1.2300E-08,-7.429424E-02,-4.100800E-04
-1.2200E-08,-7.429424E-02,0.000000E+00
-1.2100E-08,-7.429424E-02,0.000000E+00
-1.2000E-08,-7.429424E-02,0.000000E+00
-1.1900E-08,-7.429424E-02,0.000000E+00
-1.1800E-08,-7.429424E-02,0.000000E+00
-1.1700E-08,-7.429424E-02,0.000000E+00
-1.1600E-08,-7.429424E-02,0.000000E+00
-1.1500E-08,-7.429424E-02,0.000000E+00
-1.1400E-08,-7.429424E-02,0.000000E+00
-1.1300E-08,-7.429424E-02,0.000000E+00
-1.1200E-08,-7.429424E-02,0.000000E+00
-1.1100E-08,-7.429424E-02,0.000000E+00
-1.1000E-08,-7.429424E-02,0.000000E+00
-1.0900E-08,-7.429424E-02,0.000000E+00
-1.0800E-08,-7.429424E-02,4.100800E-04
-1.0700E-08,-7.429424E-02,4.100800E-04
-1.0600E-08,-7.429424E-02,0.000000E+00
-1.0500E-08,-7.429424E-02,0.000000E+00
-1.0400E-08,-7.429424E-02,0.000000E+00
-1.0300E-08,-7.429424E-02,0.000000E+00
-1.0200E-08,-7.429424E-02,0.000000E+00
-1.0100E-08,-7.429424E-02,0.000000E+00
-1.0000E-08,-7.429424E-02,0.000000E+00
-9.9000E-09,-7.429424E-02,0.000000E+00
-9.8000E-09,-7.429424E-02,0.000000E+00
-9.7000E-09,-7.429424E-02,0.000000E+00
-9.6000E-09,-7.429424E-02,0.000000E+00
-9.5000E-09,-7.429424E-02,0.000000E+00
-9.4000E-09,-7.429424E-02,-4.100800E-04
-9.3000E-09,-7.429424E-02,-4.100800E-04
-9.2000E-09,-7.429424E-02,-4.100800E-04
-9.1000E-09,-7.429424E-02,-4.100800E-04
-9.0000E-09,-7.429424E-02,-4.100800E-04
-8.9000E-09,-7.429424E-02,-4.100800E-04
-8.8000E-09,-1.114414E-01,-4.100800E-04
-8.7000E-09,-1.114414E-01,-4.100800E-04
-8.6000E-09,-1.114414E-01,-4.100800E-04
-8.5000E-09,-1.114414E-01,-4.100800E-04
-8.4000E-09,-1.114414E-01,-4.100800E-04
-8.3000E-09,-1.114414E-01,-4.100800E-04
-8.2000E-09,-7.429424E-02,-4.100800E-04
-8.1000E-09,-7.429424E-02,-4.100800E-04
-8.0000E-09,-7.429424E-02,-4.100800E-04
-7.9000E-09,-7.429424E-02,-4.100800E-04
-7.8000E-09,-7.429424E-02,-4.100800E-04
-7.7000E-09,-7.429424E-02,-4.100800E-04
-7.6000E-09,-7.429424E-02,-4.100800E-04
-7.5000E-09,-7.429424E-02,-4.100800E-04
-7.4000E-09,-7.429424E-02,0.000000E+00
-7.3000E-09,-7.429424E-02,0.000000E+00
-7.2000E-09,-7.429424E-02,0.000000E+00
-7.1000E-09,-7.429424E-02,0.000000E+00
-7.0000E-09,-7.429424E-02,0.000000E+00
-6.9000E-09,-7.429424E-02,0.000000E+00
-6.8000E-09,-7.429424E-02,0.000000E+00
-6.7000E-09,-7.429424E-02,0.000000E+00
-6.6000E-09,-7.429424E-02,4.100800E-04
-6.5000E-09,-7.429424E-02,4.100800E-04
-6.4000E-09,-7.429424E-02,4.100800E-04
-6.3000E-09,-7.429424E-02,4.100800E-04
-6.2000E-09,-7.429424E-02,4.100800E-04
-6.1000E-09,-7.429424E-02,4.100800E-04
-6.0000E-09,-7.429424E-02,4.100800E-04
-5.9000E-09,-7.429424E-02,4.100800E-04
-5.8000E-09,-7.429424E-02,0.000000E+00
-5.7000E-09,-7.429424E-02,0.000000E+00
-5.6000E-09,-7.429424E-02,0.000000E+00
-5.5000E-09,-7.429424E-02,0.000000E+00
-5.4000E-09,-7.429424E-02,0.000000E+00
-5.3000E-09,-7.429424E-02,0.000000E+00
-5.2000E-09,-7.429424E-02,4.100800E-04
-5.1000E-09,-7.429424E-02,4.100800E-04
-5.0000E-09,-7.429424E-02,0.000000E+00
-4.9000E-09,-7.429424E-02,-4.100800E-04
-4.8000E-09,-7.429424E-02,-4.100800E-04
-4.7000E-09,-7.429424E-02,-4.100800E-04
-4.6000E-09,-7.429424E-02,-4.100800E-04
-4.5000E-09,-7.429424E-02,-4.100800E-04
-4.4000E-09,-7.429424E-02,0.000000E+00
-4.3000E-09,-7.429424E-02,0.000000E+00
-4.2000E-09,-7.429424E-02,0.000000E+00
-4.1000E-09,-7.429424E-02,0.000000E+00
-4.0000E-09,-7.429424E-02,0.000000E+00
-3.9000E-09,-7.429424E-02,0.000000E+00
-3.8000E-09,-7.429424E-02,0.000000E+00
-3.7000E-09,-7.429424E-02,0.000000E+00
-3.6000E-09,-7.429424E-02,0.000000E+00
-3.5000E-09,-7.429424E-02,0.000000E+00
-3.4000E-09,-7.429424E-02,0.000000E+00
-3.3000E-09,-7.429424E-02,0.000000E+00
-3.2000E-09,-7.429424E-02,0.000000E+00
-3.1000E-09,-7.429424E-02,0.000000E+00
-3.0000E-09,-7.429424E-02,0.000000E+00
-2.9000E-09,-7.429424E-02,0.000000E+00
-2.8000E-09,-7.429424E-02,0.000000E+00
-2.7000E-09,-7.429424E-02,0.000000E+00
-2.6000E-09,-7.429424E-02,-4.100800E-04
-2.5000E-09,-7.429424E-02,-4.100800E-04
-2.4000E-09,-7.429424E-02,-4.100800E-04
-2.3000E-09,-7.429424E-02,-4.100800E-04
-2.2000E-09,-7.429424E-02,0.000000E+00
-2.1000E-09,-7.429424E-02,0.000000E+00
-2.0000E-09,-7.429424E-02,0.000000E+00
-1.9000E-09,-7.429424E-02,0.000000E+00
-1.8000E-09,-7.429424E-02,0.000000E+00
-1.7000E-09,-7.429424E-02,0.000000E+00
-1.6000E-09,-7.429424E-02,4.100800E-04
-1.5000E-09,-7.429424E-02,4.100800E-04
-1.4000E-09,-7.429424E-02,4.100800E-04
-1.3000E-09,-7.429424E-02,4.100800E-04
-1.2000E-09,-7.429424E-02,0.000000E+00
-1.1000E-09,-7.429424E-02,0.000000E+00
-1.0000E-09,-7.429424E-02,0.000000E+00
-9.0000E-10,-7.429424E-02,0.000000E+00
-8.0000E-10,-3.714712E-02,0.000000E+00
-7.0000E-10,-3.714712E-02,0.000000E+00
-6.0000E-10,0.000000E+00,0.000000E+00
-5.0000E-10,0.000000E+00,0.000000E+00
-4.0000E-10,3.714712E-02,-4.100800E-04
-3.0000E-10,7.429424E-02,-4.100800E-04
-2.0000E-10,1.485885E-01,-4.100800E-04
